2026-02-25 15:49:31,200 | INFO | websockets.server | server listening on 0.0.0.0:8765
2026-02-25 15:49:31,408 | INFO | websockets.server | connection open
2026-02-25 15:49:31,409 | INFO | __main__ | A new client has joined
2026-02-25 15:49:37,752 | INFO | __main__ | node id is f4:2d:c9:86:d3:e4
2026-02-25 15:49:37,753 | INFO | __main__ | root id is f4:2d:c9:86:d3:e4 and root ws is <websockets.asyncio.server.ServerConnection object at 0x00000198A0F20440>
2026-02-25 15:49:37,754 | INFO | __main__ | Light: Recieved Data
2026-02-25 15:49:37,755 | INFO | __main__ | Light is on and brightness is set to 67.300003
2026-02-25 15:49:47,738 | INFO | __main__ | Light: Recieved Data
2026-02-25 15:49:47,739 | INFO | __main__ | Light is on and brightness is set to 57.5
2026-02-25 15:49:57,761 | INFO | __main__ | Light: Recieved Data
2026-02-25 15:49:57,762 | INFO | __main__ | Light is on and brightness is set to 59.799999
2026-02-25 15:50:07,778 | INFO | __main__ | Light: Recieved Data
2026-02-25 15:50:07,779 | INFO | __main__ | Light is on and brightness is set to 64.300003
2026-02-25 15:50:17,807 | INFO | __main__ | Light: Recieved Data
2026-02-25 15:50:17,808 | INFO | __main__ | light is off
2026-02-25 15:50:27,822 | INFO | __main__ | Light: Recieved Data
2026-02-25 15:50:27,823 | INFO | __main__ | light is off
2026-02-25 15:50:37,851 | INFO | __main__ | Light: Recieved Data
2026-02-25 15:50:37,852 | INFO | __main__ | Light is on and brightness is set to 83.900002
2026-02-25 15:50:47,890 | INFO | __main__ | Light: Recieved Data
2026-02-25 15:50:47,890 | INFO | __main__ | Light is on and brightness is set to 64.199997
2026-02-25 15:50:57,893 | INFO | __main__ | Light: Recieved Data
2026-02-25 15:50:57,893 | INFO | __main__ | Light is on and brightness is set to 68.699997
2026-02-25 15:51:07,915 | INFO | __main__ | Light: Recieved Data
2026-02-25 15:51:07,915 | INFO | __main__ | light is off
2026-02-25 15:51:17,924 | INFO | __main__ | Light: Recieved Data
2026-02-25 15:51:17,924 | INFO | __main__ | light is off
2026-02-25 15:51:27,958 | INFO | __main__ | Light: Recieved Data
2026-02-25 15:51:27,959 | INFO | __main__ | light is off
2026-02-25 15:51:37,983 | INFO | __main__ | Light: Recieved Data
2026-02-25 15:51:37,984 | INFO | __main__ | Light is on and brightness is set to 63.0
2026-02-25 15:51:47,995 | INFO | __main__ | Light: Recieved Data
2026-02-25 15:51:47,995 | INFO | __main__ | Light is on and brightness is set to 53.299999
2026-02-25 15:51:52,755 | INFO | websockets.server | server closing
2026-02-25 15:51:52,786 | INFO | websockets.server | server closed
